phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
334-5337,269.2,129,12.11,11.6,7,3.13,3
334-8817,299,60,13.46,12.7,3,3.43,1
339-1405,195.7,141,8.81,7.7,6,2.08,4
329-6191,189.1,100,8.51,7.3,1,1.97,2
340-3075,233.1,96,10.49,8,5,2.16,1
416-5849,298.9,130,13.45,8.8,7,2.38,2
334-7443,194.8,140,8.77,14,6,3.78,3
394-9121,142.8,97,6.43,11.6,6,3.13,1
347-4112,268.4,121,12.08,12.8,4,3.46,1
362-8280,157,106,7.07,11.5,3,3.11,1
402-9982,121,131,5.44,10.6,3,2.86,2
392-8905,264.6,83,11.91,7.1,1,1.92,3
392-5512,249.2,78,11.21,5.1,2,1.38,0
351-6384,144.6,72,6.51,13.8,4,3.73,3
374-6966,249.4,80,11.22,7.4,2,2,4
328-2236,152.1,76,6.84,6.5,5,1.76,1
417-8617,225.1,93,10.13,13.9,4,3.75,0
361-9621,193.6,95,8.71,9.5,2,2.57,0
421-2723,180,114,8.1,4.8,4,1.3,3
327-9341,220,91,9.9,15.6,4,4.21,2
383-5474,306.3,102,13.78,10.8,6,2.92,2
328-8147,256.5,94,11.54,10.2,7,2.75,5
373-5438,169,116,7.61,9.2,15,2.48,1
333-9253,237.4,118,10.68,7.5,3,2.03,0
347-9421,259.3,117,11.67,12.9,1,3.48,1
419-3167,210.6,113,9.48,11.4,2,3.08,0
414-4162,206.2,95,9.28,7.9,4,2.13,2
416-5341,208.5,102,9.38,9.8,3,2.65,1
368-8600,180.6,92,8.13,11,13,2.97,0
336-6085,239.8,128,10.79,15.6,7,4.21,0
377-1479,215.9,95,9.72,14,4,3.78,1
360-2107,158.4,146,7.13,8.5,4,2.3,3
405-9384,170.3,103,7.66,15.4,9,4.16,0
420-5179,155.6,125,7,7.5,5,2.03,1
331-3174,104.8,94,4.72,9.1,4,2.46,0
333-8180,103.1,111,4.64,11.5,4,3.11,2
357-2679,179.7,93,8.09,9.5,6,2.57,1
396-2867,199.2,120,8.96,9.2,1,2.48,3
341-9443,208.1,109,9.36,8.5,3,2.3,3
341-4103,180.1,93,8.1,10.5,5,2.84,1
397-6109,289.5,55,13.03,9.3,4,2.51,0
392-5587,142.4,89,6.41,9.3,2,2.51,2
392-9342,186.6,86,8.4,9.9,7,2.67,0
368-2845,134.9,63,6.07,8.3,2,2.24,1
348-7484,225.5,93,10.15,12,4,3.24,1
338-5207,259.2,58,11.66,12.3,2,3.32,0
418-7846,78.1,100,3.51,7.4,4,2,3
358-8729,240.6,84,10.83,7.8,4,2.11,1
349-1943,262.7,141,11.82,9.2,4,2.48,2
368-8283,151.8,96,6.83,9.6,1,2.59,2
345-1419,135.9,124,6.12,9.2,3,2.48,0
358-8025,206.9,124,9.31,12.3,1,3.32,1
383-8695,205.1,90,9.23,15.5,4,4.19,0
370-7565,212.8,98,9.58,16.3,4,4.4,1
401-6162,103.9,89,4.68,11.9,6,3.21,2
386-5303,160.2,88,7.21,11.8,5,3.19,0
351-6552,211.3,79,9.51,11.2,3,3.02,3
345-5338,204.6,77,9.21,7.5,15,2.03,1
330-2849,264.8,104,11.92,5.9,3,1.59,1
364-6801,152.2,91,6.85,10.6,4,2.86,0
375-3003,118.3,120,5.32,9.4,4,2.54,1
383-8878,178.5,105,8.03,8.9,4,2.4,0
377-7107,205.8,83,9.26,13.1,2,3.54,1
361-1581,256.1,82,11.52,9.3,5,2.51,0
417-7888,123,87,5.54,11.4,3,3.08,3
383-8364,202.4,120,9.11,6.5,1,1.76,1
396-2335,204.4,57,9.2,11.1,8,3,3
408-4530,230.8,101,10.39,8.6,7,2.32,1
408-6621,154.4,80,6.95,10.1,2,2.73,3
393-7522,216.1,107,9.72,12.6,8,3.4,1
338-7120,260.1,123,11.7,12.1,3,3.27,3
357-4265,126.9,101,5.71,8.2,2,2.21,1
398-8801,234.5,111,10.55,14.9,3,4.02,2
346-2347,172.7,105,7.77,10.2,4,2.75,1
343-2741,192.1,104,8.64,5.7,7,1.54,4
420-8242,254.9,118,11.47,8,4,2.16,3
402-7746,188.8,99,8.5,10.9,4,2.94,6
332-1494,220.2,105,9.91,11.6,9,3.13,1
388-6223,169.2,77,7.61,7.5,3,2.03,1
404-9539,206.6,72,9.3,9.1,4,2.46,0
341-7332,307.1,86,13.82,8.4,11,2.27,0
338-7886,187.5,79,8.44,11,9,2.97,0
332-5596,167.1,113,7.52,10.7,3,2.89,0
348-9945,128.2,129,5.77,7.7,3,2.08,0
407-1896,243.6,114,10.96,14.1,3,3.81,1
398-9408,229.9,118,10.35,10.4,7,2.81,1
369-8005,194.1,113,8.73,6.5,4,1.76,3
346-2530,168.9,121,7.6,8.5,5,2.3,1
400-5984,194.4,65,8.75,3.6,5,0.97,1
351-1007,260.8,72,11.74,7.6,7,2.05,3
345-5980,200.4,109,9.02,10.6,6,2.86,2
368-8964,197.8,76,8.9,9.7,3,2.62,2
358-1912,259.9,119,11.7,12.5,4,3.38,3
379-3132,212.6,86,9.57,11.4,8,3.08,4
340-9910,232.7,78,10.47,0,0,0,2
396-2719,210.6,106,9.48,6.9,2,1.86,2
369-6204,174.5,81,7.85,7.3,5,1.97,2
410-3782,268.8,94,12.1,11.4,4,3.08,2
404-4481,179.7,83,8.09,7.2,6,1.94,1
383-9255,184,116,8.28,9.3,3,2.51,1
418-9385,256.5,109,11.54,11.7,5,3.16,2
360-9676,242.7,72,10.92,7.4,2,2,0
385-4715,105.4,115,4.74,13.5,3,3.65,1
414-2695,206.7,136,9.3,14,11,3.78,3
331-5999,216.5,118,9.74,16.4,5,4.43,1
337-7739,231.7,101,10.43,11.9,3,3.21,2
388-6658,287.7,95,12.95,7.8,5,2.11,1
405-6943,221.4,110,9.96,9.2,2,2.48,1
382-4084,154.9,101,6.97,12.7,5,3.43,2
352-8249,221.8,124,9.98,13.4,5,3.62,0
416-2825,226.3,103,10.18,8,1,2.16,2
342-6696,197.4,94,8.88,7.2,5,1.94,2
338-9210,211.9,76,9.54,9.5,8,2.57,2
328-1768,175.3,127,7.89,12.1,4,3.27,1
406-5870,274.7,103,12.36,6.5,6,1.76,3
414-9054,210.3,76,9.46,11.4,3,3.08,1
350-2832,203.8,111,9.17,8.8,8,2.38,1
414-9027,162.2,115,7.3,9.4,2,2.54,1
337-1225,129.6,120,5.83,11.5,3,3.11,0
394-6577,248.1,98,11.16,11.4,3,3.08,5
359-6995,195.4,84,8.79,10.4,6,2.81,1
377-7561,203.5,86,9.16,9.1,5,2.46,1
380-6631,142.4,92,6.41,6.6,8,1.78,1
390-8876,232.9,123,10.48,6.4,2,1.73,1
413-2201,226.5,122,10.19,7.8,1,2.11,1
374-2073,121.6,113,5.47,8.7,5,2.35,1
417-1272,133.1,88,5.99,11,6,2.97,1
358-1129,148.2,107,6.67,8.2,4,2.21,3
394-1211,241.7,75,10.88,10.1,6,2.73,0
327-1319,128.8,102,5.8,12.7,4,3.43,3
399-4413,159.7,121,7.19,11,5,2.97,2
393-9985,253.7,104,11.42,9.6,4,2.59,1
401-8377,101.2,103,4.55,11.4,4,3.08,2
331-3202,148.7,71,6.69,9.8,14,2.65,2
358-5953,184.6,78,8.31,13.1,5,3.54,1
380-7624,177.9,95,8.01,9.8,6,2.65,2
416-5261,320.7,120,14.43,9.5,4,2.57,2
417-5067,206.4,68,9.29,10.1,5,2.73,1
345-6515,145.8,91,6.56,8.4,3,2.27,2
406-1349,184.5,137,8.3,1.3,6,0.35,1
360-9038,317.8,103,14.3,15,5,4.05,0
348-3444,237.4,76,10.68,11.4,4,3.08,0
370-2892,158.9,101,7.15,8.7,6,2.35,2
391-7937,236,91,10.62,15.2,4,4.1,2
389-4083,157.8,101,7.1,9.7,2,2.62,3
410-9633,144.9,81,6.52,11,3,2.97,1
418-9502,214.6,107,9.66,13.3,4,3.59,1
356-3403,214.1,91,9.63,9.2,7,2.48,0
391-8087,228.4,116,10.28,10.6,4,2.86,1
392-6420,202.2,79,9.1,10.7,4,2.89,1
399-4094,251.4,91,11.31,10.5,4,2.84,0
378-4013,234.3,84,10.54,5.8,4,1.57,2
386-6306,225.7,71,10.16,13.6,5,3.67,6
359-3618,168.9,101,7.6,10.1,4,2.73,2
340-8875,153.8,67,6.92,11,9,2.97,2
330-2693,134,134,6.03,10.7,4,2.89,1
403-7627,288.9,68,13,9.4,4,2.54,1
342-3678,280.2,78,12.61,9.4,4,2.54,3
344-9943,239.4,128,10.77,11.2,9,3.02,1
390-5686,142.6,60,6.42,10.7,5,2.89,3
358-5826,200.4,85,9.02,11.3,3,3.05,0
335-9786,133.7,78,6.02,11.8,2,3.19,2
368-9860,169.5,64,7.63,10.5,3,2.84,3
416-9522,94.3,76,4.24,7.5,3,2.03,0
416-7307,167,77,7.52,14.1,3,3.81,2
335-9501,240.2,106,10.81,9,3,2.43,2
388-1250,167.5,108,7.54,15.1,2,4.08,1
386-1374,158.9,105,7.15,10.8,4,2.92,1
346-8112,166.9,124,7.51,8.4,2,2.27,1
366-3944,134.7,135,6.06,14.6,5,3.94,2
331-9861,213.5,104,9.61,15.9,5,4.29,1
330-2881,179.4,97,8.07,11.3,2,3.05,1
402-9558,180.1,95,8.1,9.4,5,2.54,1
341-3180,247.3,79,11.13,6.5,4,1.76,0
371-8598,291,86,13.1,12.6,3,3.4,1
398-8385,210.8,89,9.49,9.8,4,2.65,0
333-4154,101.7,82,4.58,6.8,4,1.84,0
330-3589,136.5,121,6.14,10.2,5,2.75,0
417-1477,194.6,111,8.76,12.1,3,3.27,1
327-5525,147.7,95,6.65,11.3,3,3.05,0
363-8244,200.9,64,9.04,5.8,3,1.57,1
419-9104,146.3,108,6.58,12.1,4,3.27,1
363-1560,178.5,122,8.03,9.9,6,2.67,0
341-4075,189.4,82,8.52,13.1,4,3.54,1
366-9074,190.8,113,8.59,15.3,5,4.13,0
367-1424,171.7,68,7.73,12.4,4,3.35,1
342-9480,211.7,100,9.53,12.1,5,3.27,1
355-9360,264.2,118,11.89,6.6,6,1.78,2
343-1538,206.1,124,9.27,15.1,3,4.08,1
335-2331,234.7,103,10.56,13.1,3,3.54,1
335-7257,185.1,96,8.33,12.7,3,3.43,2
332-2137,189.6,87,8.53,13.1,5,3.54,0
352-2998,236.6,105,10.65,11.7,4,3.16,1
346-6941,174.3,84,7.84,10.1,6,2.73,1
400-2203,149.4,123,6.72,11.3,3,3.05,2
421-2955,182.2,105,8.2,11.6,6,3.13,1
331-6629,184.2,77,8.29,9.4,9,2.54,1
343-6314,223,100,10.04,12.2,4,3.29,0
414-6638,268.7,114,12.09,5.5,2,1.49,2
350-5883,119.8,81,5.39,9.9,3,2.67,2
376-4856,239.4,99,10.77,11.8,2,3.19,2
397-6255,138.4,127,6.23,10.2,3,2.75,0
381-5047,226.3,94,10.18,9.4,3,2.54,3
403-6850,65.8,71,2.96,9.9,3,2.67,1
375-3658,168.7,120,7.59,9.7,4,2.62,0
341-2603,247.4,109,11.13,8.1,13,2.19,0
342-5062,225.6,133,10.15,11.9,8,3.21,1
354-1558,188.3,92,8.47,16.1,5,4.35,1
351-9537,225.3,94,10.14,9,6,2.43,3
401-1252,160.8,81,7.24,10.3,2,2.78,5
366-9538,95.1,130,4.28,11.4,11,3.08,2
364-7622,167.6,109,7.54,15.8,6,4.27,1
393-9918,215.5,98,9.7,14.6,6,3.94,1
376-4484,196.3,85,8.83,10,4,2.7,1
343-2392,252.7,75,11.37,10.3,4,2.78,1
408-4323,207.4,111,9.33,9.1,9,2.46,0
395-1718,111.4,101,5.01,9.2,2,2.48,2
354-9492,246.1,119,11.07,10.9,5,2.94,0
340-3500,226.9,99,10.21,9.6,3,2.59,3
369-4962,260.2,113,11.71,7.6,6,2.05,3
334-8967,227.8,119,10.25,9.7,13,2.62,2
402-2377,187.3,135,8.43,6.2,7,1.67,2
366-3917,215.1,112,9.68,12.7,2,3.43,1
333-3531,263.9,95,11.88,9.2,4,2.48,1
333-8954,185,81,8.32,11.7,8,3.16,1
334-3289,228.6,92,10.29,9.9,6,2.67,2
353-7822,209.5,108,9.43,14.9,3,4.02,1
350-1422,345.8,115,15.56,13.1,3,3.54,3
385-8406,217.8,125,9.8,12.4,13,3.35,1
380-7277,80.2,108,3.61,8.9,4,2.4,3
352-1798,154.6,119,6.96,9.9,9,2.67,4
385-7922,146.5,80,6.59,11.1,3,3,0
353-7730,210.6,91,9.48,8.2,5,2.21,1
337-7163,143.2,105,6.44,4,7,1.08,0
348-5567,249.9,105,11.25,7.4,4,2,2
420-9575,258,93,11.61,14.9,5,4.02,0
359-9972,241.5,80,10.87,10.9,3,2.94,1
387-3332,307.6,77,13.84,9.3,1,2.51,1
354-6960,208.2,106,9.37,10.4,3,2.81,5
405-3335,148.6,90,6.69,9.1,4,2.46,1
379-4257,143.9,127,6.48,7.5,2,2.03,1
355-4992,111.7,146,5.03,5.9,4,1.59,1
383-6373,77.9,74,3.51,0,0,0,1
382-7993,169.9,104,7.65,11.8,8,3.19,4
422-5865,203.3,64,9.15,10.2,7,2.75,1
410-9961,289.6,119,13.03,6.7,8,1.81,3
343-9946,114.9,140,5.17,7.2,3,1.94,1
357-7060,45,117,2.03,8,12,2.16,1
355-9541,153.9,102,6.93,15,7,4.05,2
378-4145,190.8,95,8.59,5.4,3,1.46,2
386-2317,196.2,98,8.83,8.9,3,2.4,0
335-8146,270,77,12.15,7.6,7,2.05,1
377-2235,229.8,104,10.34,5.5,4,1.49,2
386-9141,179.2,124,8.06,12.4,5,3.35,0
416-5623,179.4,91,8.07,12,2,3.24,0
327-3053,207.5,131,9.34,6.2,5,1.67,1
397-8772,176.7,110,7.95,10.7,3,2.89,2
343-2350,187.2,93,8.42,8.5,3,2.3,2
372-4722,206.2,112,9.28,14.4,7,3.89,2
399-8615,195.4,107,8.79,15.5,7,4.19,0
379-8248,264.1,77,11.88,8,2,2.16,1
414-6219,224.2,92,10.09,8.7,7,2.35,1
387-1343,221,88,9.95,5.5,6,1.49,0
393-8736,208.3,131,9.37,8.2,6,2.21,7
402-7626,157.9,112,7.11,5.9,8,1.59,0
417-2035,136.2,89,6.13,13.5,3,3.65,0
355-3602,245.5,73,11.05,16.9,2,4.56,1
393-4027,219.8,73,9.89,15,4,4.05,6
418-5141,264.9,104,11.92,5.1,6,1.38,0
406-1247,190.4,106,8.57,8.1,5,2.19,0
332-2965,163,93,7.34,10.6,3,2.86,2
377-1218,312.5,130,14.06,10.6,4,2.86,1
404-4611,198.5,124,8.93,7.5,3,2.03,2
373-2339,228.1,113,10.26,13.2,5,3.56,2
410-3503,295.8,84,13.31,8.3,6,2.24,0
410-4739,342.8,130,15.43,5.2,2,1.4,1
365-3562,190.5,113,8.57,11,4,2.97,1
387-7641,166.7,94,7.5,9.2,2,2.48,1
385-9744,202,89,9.09,4.4,14,1.19,1
398-5006,364.3,106,16.39,9.3,5,2.51,1
408-3977,218.7,79,9.84,13.8,3,3.73,1
334-2729,204,103,9.18,7.9,4,2.13,1
334-7685,196.1,79,8.82,10.8,2,2.92,1
350-9228,179.6,90,8.08,14,6,3.78,0
407-5774,139.3,123,6.27,11.4,5,3.08,0
413-4039,180.7,64,8.13,7.8,5,2.11,2
343-2077,214.5,105,9.65,6.6,5,1.78,1
336-5661,265.3,114,11.94,9.8,4,2.65,0
355-4143,236.5,137,10.64,12,2,3.24,1
366-5918,152.1,118,6.84,10,2,2.7,1
408-2119,177.6,123,7.99,11.2,2,3.02,1
329-2789,255.6,92,11.5,13,3,3.51,4
334-1508,277.4,94,12.48,9.2,4,2.48,0
337-1506,183.8,74,8.27,6.7,2,1.81,2
396-8400,270.1,107,12.15,14.3,2,3.86,1
349-2654,300.7,89,13.53,11.9,8,3.21,2
417-2716,204.8,106,9.22,15.5,4,4.19,0
402-1725,230.2,85,10.36,6.5,5,1.76,2
403-3229,208.9,110,9.4,6.4,2,1.73,0
353-6056,272,88,12.24,12.6,2,3.4,1
366-7069,233.7,120,10.52,11.5,6,3.11,2
393-6376,201.6,130,9.07,11,4,2.97,1
354-7025,255.7,114,11.51,8.4,3,2.27,1
351-6585,173.3,81,7.8,11,3,2.97,1
330-5462,170.2,89,7.66,7.9,3,2.13,1
407-2292,196.3,77,8.83,11.6,2,3.13,4
340-3011,149.5,142,6.73,10.7,2,2.89,3
345-9153,225.5,118,10.15,8.6,3,2.32,2
379-5503,221,116,9.95,8.6,8,2.32,2
389-6790,208.5,103,9.38,10.3,5,2.78,0
408-3610,205.5,111,9.25,7.1,3,1.92,2
375-8238,190.6,121,8.58,9.4,15,2.54,0
378-5633,190.5,128,8.57,12.3,3,3.32,3
389-9120,193.8,118,8.72,12.8,5,3.46,2
380-2758,214,85,9.63,13.3,3,3.59,3
402-2728,150.7,110,6.78,4.2,3,1.13,0
354-9062,219.8,111,9.89,7.7,2,2.08,3
417-2054,270,83,12.15,10.8,5,2.92,1
353-1941,191.2,102,8.6,13.3,2,3.59,1
328-1522,122.4,85,5.51,12.2,4,3.29,0
417-5320,128.4,100,5.78,9.2,3,2.48,0
372-4835,130,92,5.85,8.8,4,2.38,0
334-6605,219.6,50,9.88,11.5,1,3.11,1
399-5564,273.4,97,12.3,5,5,1.35,3
392-2887,154.1,90,6.93,11.8,3,3.19,1
328-2110,128.1,93,5.76,12.3,2,3.32,0
383-5976,179.1,89,8.06,9.5,7,2.57,6
330-5255,264.7,63,11.91,13,6,3.51,0
353-7096,223.6,126,10.06,7.8,5,2.11,0
395-6002,151.8,124,6.83,11.6,8,3.13,3
372-9816,268.3,81,12.07,6.9,4,1.86,1
400-7253,213.4,108,9.6,13,18,3.51,1
344-7470,221.3,105,9.96,9,4,2.43,1
378-8572,196.5,82,8.84,9.9,1,2.67,1
340-5460,195.2,137,8.78,11.8,9,3.19,1
395-8595,224.5,115,10.1,17,4,4.59,3
359-4587,147.1,126,6.62,13.6,3,3.67,1
375-5439,298.9,104,13.45,3.9,2,1.05,0
361-3779,216.2,101,9.73,7.9,2,2.13,2
375-8934,63.3,103,2.85,7.7,5,2.08,1
395-4757,255.9,96,11.52,9.6,2,2.59,0
421-7205,213.4,87,9.6,10.4,6,2.81,3
379-8805,144.7,97,6.51,7.5,5,2.03,1
348-2150,181.9,103,8.19,11.6,5,3.13,0
417-9128,148.1,76,6.66,11.3,3,3.05,2
351-4226,175.8,105,7.91,14.7,3,3.97,0
330-6630,54.5,91,2.45,7.9,3,2.13,0
372-3987,260.6,94,11.73,8.4,4,2.27,1
408-5183,238.9,115,10.75,6.8,3,1.84,2
412-9357,172,86,7.74,8.2,3,2.21,0
402-3599,150.2,127,6.76,12.3,3,3.32,1
379-5211,220,110,9.9,9.8,4,2.65,2
405-9217,133.4,113,6,8.3,4,2.24,2
340-9200,223.3,95,10.05,6,7,1.62,1
339-9026,173.9,124,7.83,11.4,2,3.08,2
343-4772,168.5,122,7.58,11.3,3,3.05,3
345-2108,169,151,7.61,3.8,4,1.03,0
401-4650,194,100,8.73,9.7,6,2.62,2
400-3945,258.2,91,11.62,8,5,2.16,2
338-3781,222.7,94,10.02,13.1,5,3.54,1
342-6316,304.3,101,13.69,12,4,3.24,0
336-5920,213.7,91,9.62,11.9,2,3.21,0
332-1060,194.4,110,8.75,8.6,3,2.32,1
418-3426,176.3,120,7.93,9.1,4,2.46,2
334-6142,216.7,96,9.75,11.3,3,3.05,1
336-6128,242.3,138,10.9,14.2,3,3.83,2
406-6708,110.3,71,4.96,8.4,12,2.27,1
388-8670,189.4,89,8.52,7.2,5,1.94,0
363-5853,122.1,117,5.49,7.8,8,2.11,2
383-6544,214.3,128,9.64,11.2,3,3.02,1
378-2940,262.8,99,11.83,12.3,1,3.32,1
338-7683,159.6,114,7.18,10,2,2.7,2
369-9465,223.5,122,10.06,0,0,0,1
337-3769,226.1,130,10.17,16.5,5,4.46,0
411-6663,167.5,66,7.54,5.3,9,1.43,1
384-3101,204.3,93,9.19,9.5,5,2.57,1
339-5329,171.2,105,7.7,10.6,6,2.86,2
388-9944,179.7,108,8.09,13.1,9,3.54,2
403-1769,161.2,111,7.25,10,1,2.7,2
390-1612,171,102,7.69,12,2,3.24,3
421-7214,173.1,102,7.79,10.7,5,2.89,0
333-9826,261.4,91,11.76,10.7,2,2.89,2
411-8549,238.7,117,10.74,9.2,5,2.48,4
381-9234,206.1,112,9.27,16.1,6,4.35,0
387-9855,240.7,133,10.83,9.9,3,2.67,0
371-6990,179.3,104,8.07,10.2,8,2.75,3
417-3046,94.9,99,4.27,7.2,4,1.94,4
385-7082,306.6,107,13.8,9.3,3,2.51,4
365-5886,233.3,75,10.5,6.4,5,1.73,0
373-5196,217.6,59,9.79,7.1,7,1.92,0
327-6194,163.3,116,7.35,7.7,3,2.08,0
381-4565,243.2,107,10.94,8.4,9,2.27,1
357-9832,182.1,84,8.19,12.9,10,3.48,2
396-4845,214.7,112,9.66,10.3,2,2.78,0
378-6772,169.4,88,7.62,7.7,9,2.08,1
353-4296,240.6,100,10.83,10.1,3,2.73,2
362-8331,202.6,99,9.12,8.7,3,2.35,1
362-4685,137.6,78,6.19,8.5,2,2.3,1
383-1431,202.5,119,9.11,7,3,1.89,0
332-2258,138.2,103,6.22,13.3,4,3.59,1
375-8304,76.4,97,3.44,8.6,6,2.32,0
340-5580,105.6,116,4.75,8.8,3,2.38,1
362-1490,172.8,104,7.78,15.3,3,4.13,1
336-4281,172.8,76,7.78,10.3,9,2.78,1
361-1315,175.1,103,7.88,9.9,3,2.67,1
342-5906,241.1,116,10.85,10.7,2,2.89,1
405-7904,258.4,105,11.63,12.9,3,3.48,2
349-4762,167.8,70,7.55,9.9,6,2.67,0
385-3263,267.9,112,12.06,11.8,4,3.19,0
405-9496,233.4,97,10.5,12.2,6,3.29,1
396-6775,109.6,115,4.93,10.3,5,2.78,0
393-6475,192.9,115,8.68,12.5,4,3.38,1
379-7779,173,96,7.79,11.9,9,3.21,1
408-8650,179.1,107,8.06,5,9,1.35,1
400-3497,50.1,60,2.25,14.3,6,3.86,1
407-9244,215.8,77,9.71,7.6,4,2.05,1
406-8809,212.2,77,9.55,12.5,7,3.38,2
358-1778,155.5,99,7,8.9,8,2.4,0
337-4339,228.1,64,10.26,6.5,7,1.76,1
372-6623,210,93,9.45,8.2,3,2.21,1
363-2602,220.3,118,9.91,0,0,0,0
387-7757,219.1,67,9.86,7.5,2,2.03,1
397-5381,171.3,65,7.71,11.8,1,3.19,3
406-4604,175.1,86,7.88,12.4,6,3.35,3
376-9513,171.3,84,7.71,12.3,5,3.32,3
360-1852,109.9,100,4.95,12.4,4,3.35,2
421-7270,246.2,123,11.08,6.9,6,1.86,3
371-9482,268,106,12.06,8.2,4,2.21,1
337-4101,241.6,77,10.87,12.9,2,3.48,0
420-2796,164.3,131,7.39,13.3,4,3.59,2
366-4225,164.4,83,7.4,10.4,3,2.81,0
398-4567,123.2,108,5.54,10,3,2.7,2
388-4571,165.1,104,7.43,9.5,13,2.57,1
360-8666,255.1,67,11.48,6.5,8,1.76,2
333-3704,229.9,74,10.35,7.2,8,1.94,0
383-2566,160.8,62,7.24,6,3,1.62,1
406-5584,248.2,114,11.17,14.2,4,3.83,1
344-4691,251.7,94,11.33,13,2,3.51,1
347-9737,181.8,129,8.18,5.1,4,1.38,1
333-7961,151.6,79,6.82,2.2,4,0.59,3
364-2439,214.5,100,9.65,8.3,4,2.24,1
411-8043,180.1,89,8.1,9.1,4,2.46,2
413-4831,213.6,124,9.61,12.2,6,3.29,0
343-4806,182.6,91,8.22,10.4,5,2.81,4
391-8626,258.5,89,11.63,10.1,5,2.73,3
327-5817,164.3,76,7.39,12.8,7,3.46,3
381-4712,212.8,116,9.58,5.8,2,1.57,3
335-3320,207.9,155,9.36,7.9,1,2.13,0
415-8780,253.2,113,11.39,7.4,9,2,2
362-1146,248.1,87,11.16,17.1,6,4.62,0
352-7413,304.4,93,13.7,13.3,2,3.59,0
387-6716,43.7,121,1.97,10.6,4,2.86,1
352-1127,250.7,114,11.28,10.9,4,2.94,1
403-5279,262.9,103,11.83,11.7,3,3.16,3
397-9333,150.9,105,6.79,11.8,7,3.19,1
411-7353,247,73,11.12,12.3,4,3.32,3
383-2537,179.1,120,8.06,11.3,5,3.05,3
330-4419,150,138,6.75,12.1,6,3.27,1
358-6796,283.7,87,12.77,10,3,2.7,2
409-7494,229.2,95,10.31,9.9,5,2.67,1
400-1636,229.5,94,10.33,12.8,9,3.46,2
389-2747,182.3,112,8.2,7.3,4,1.97,2
415-2176,225.6,101,10.15,16.9,3,4.56,0
377-8067,116.3,91,5.23,12.3,10,3.32,2
362-7835,164.8,98,7.42,9,2,2.43,2
361-5225,251.6,58,11.32,12.7,2,3.43,1
333-3447,189.8,109,8.54,13,5,3.51,1
341-3044,179.7,102,8.09,11.8,4,3.19,1
353-8849,117.1,91,5.27,9,3,2.43,1
402-3476,209.2,97,9.41,12.2,3,3.29,2
409-3520,260.9,135,11.74,11.3,1,3.05,1
357-1085,173.1,77,7.79,13.6,6,3.67,1
353-3285,172.7,113,7.77,11.7,3,3.16,2
409-9885,189.7,117,8.54,10.1,3,2.73,1
388-7701,196.8,81,8.86,7.9,6,2.13,1
345-2863,246.1,105,11.07,10,5,2.7,0
353-6300,135.3,106,6.09,10.8,1,2.92,2
389-5649,162.9,92,7.33,5.1,2,1.38,0
378-8137,224.7,68,10.11,4,5,1.08,1
340-4627,194.3,57,8.74,10.6,5,2.86,0
352-6833,211.7,103,9.53,9.7,7,2.62,3
420-2000,235.8,113,10.61,9.6,8,2.59,2
418-8170,139.3,85,6.27,11.3,4,3.05,0
403-9417,94.1,102,4.23,8.8,4,2.38,1
330-6165,136,117,6.12,5.6,5,1.51,1
412-4185,134.6,140,6.06,8.1,2,2.19,1
348-9828,81.6,100,3.67,11.8,7,3.19,1
418-8850,212.6,102,9.57,7.8,5,2.11,1
330-8351,203.8,119,9.17,11.1,6,3,1
347-7773,161.1,95,7.25,6.4,7,1.73,0
392-6841,166.7,105,7.5,10.6,2,2.86,0
354-2189,281.9,89,12.69,8.2,9,2.21,3
349-9060,102,63,4.59,10.9,2,2.94,0
334-1311,322.2,114,14.5,7.1,5,1.92,1
415-3120,132.3,113,5.95,12,3,3.24,2
387-5891,174.9,109,7.87,8,3,2.16,0
368-8026,214.2,106,9.64,12.2,3,3.29,3
332-9446,233.7,75,10.52,12.9,1,3.48,1
393-5284,237.9,61,10.71,7.6,11,2.05,1
376-1677,181.7,108,8.18,5.4,5,1.46,1
392-2268,140.1,57,6.3,15.2,2,4.1,0
396-4311,132.5,102,5.96,12.8,3,3.46,1
363-4005,132,124,5.94,9.2,5,2.48,2
344-9966,266,88,11.97,10.9,5,2.94,1
337-7377,167.1,83,7.52,5.8,7,1.57,1
373-7037,174,83,7.83,8.6,2,2.32,0
356-7580,186.5,104,8.39,9.7,2,2.62,4
390-3401,271.8,124,12.23,14.1,4,3.81,3
350-9313,108.8,92,4.9,11.2,2,3.02,3
420-9009,129.1,100,5.81,7.3,14,1.97,1
415-2641,184.8,124,8.32,13.1,4,3.54,0
392-4929,274,136,12.33,7.5,6,2.03,1
389-2631,205,74,9.23,9,1,2.43,2
368-3808,215.8,80,9.71,9.7,3,2.62,2
406-8599,214.8,104,9.67,9.8,7,2.65,3
386-7456,195.1,101,8.78,8.7,5,2.35,0
357-4936,254.3,109,11.44,5.9,9,1.59,2
397-7411,281.8,92,12.68,9.3,2,2.51,1
353-6218,175.4,69,7.89,11.2,5,3.02,0
369-5942,163.3,104,7.35,8.9,8,2.4,0
416-8543,177.6,98,7.99,9.2,3,2.48,2
408-2621,205.7,71,9.26,13.2,2,3.56,1
353-3994,174.4,126,7.85,11,3,2.97,1
367-4277,134.3,125,6.04,6.9,2,1.86,1
354-3237,291.8,89,13.13,11.9,3,3.21,4
